出表日期,資料年月,公司代號,公司名稱,產業別,營業收入-當月營收,營業收入-上月營收,營業收入-去年當月營收,營業收入-上月比較增減(%),營業收入-去年同月增減(%),累計營業收入-當月累計營收,累計營業收入-去年累計營收,累計營業收入-前期比較增減(%),備註
1110217,11101,3044,健鼎,電子零組件業,6509889,5681208,5815827,14.58635206,11.93402073,6509889,5815827,11.93402073,-
1110217,11101,3045,台灣大,通信網路業,14132830,13804066,12485995,2.381646103,13.18945747,14132830,12485995,13.18945747,-
1110217,11101,3046,建碁,電腦及週邊設備業,142547,239698,126091,-40.53058432,13.05089182,142547,126091,13.05089182,-
1110217,11101,3047,訊舟,通信網路業,495601,522564,437543,-5.159750767,13.26909584,495601,437543,13.26909584,-
1110217,11101,3048,益登,電子通路業,11048406,10990412,9577505,0.527678125,15.35787243,11048406,9577505,15.35787243,上述已依IFRS申報合併營收
1110217,11101,3049,和鑫,光電業,246040,281801,340738,-12.69016079,-27.79202789,246040,340738,-27.79202789,-
1110217,11101,3050,鈺德,光電業,86296,86485,82059,-0.218535006,5.163358072,86296,82059,5.163358072,-
1110217,11101,3051,力特,光電業,282092,214534,270850,31.49057958,4.150636884,282092,270850,4.150636884,-
1110217,11101,3052,夆典,建材營造,321545,297383,207723,8.124876002,54.79508769,321545,207723,54.79508769,主係本期營造工程收入較去年同期增加
1110217,11101,3054,立萬利,半導體業,3939,2909,6420,35.40735648,-38.64485981,3939,6420,-38.64485981,-
1110217,11101,3055,蔚華科,電子通路業,130146,801834,451560,-83.76895966,-71.17858092,130146,451560,-71.17858092,去年同期有快消品營收314M，自111年1月始已無此營收; 半導體本期130M相較去年同期138M減幅5%。
1110217,11101,3056,總太,建材營造,11019,9664,3362681,14.02110927,-99.67231504,11019,3362681,-99.67231504,本年營收減少係因無建案交屋。
1110217,11101,3057,喬鼎,電腦及週邊設備業,88169,91651,69382,-3.799194771,27.0776282,88169,69382,27.0776282,-
1110217,11101,3058,立德,電子零組件業,391434,392085,409695,-0.166035426,-4.457218174,391434,409695,-4.457218174,-
1110217,11101,3059,華晶科,光電業,1196336,1027148,617977,16.47162824,93.58908179,1196336,617977,93.58908179,本月及本年累計營收較去年同期增加50%以上，係因客人需求增加。
1110217,11101,3060,銘異,電腦及週邊設備業,309284,414465,328884,-25.37753489,-5.959548047,309284,328884,-5.959548047,-
1110217,11101,3062,建漢,通信網路業,313816,308559,445333,1.70372603,-29.53228258,313816,445333,-29.53228258,-
1110217,11101,3090,日電貿,電子零組件業,1129024,792164,1090282,42.5240228,3.553392609,1129024,1090282,3.553392609,-
1110217,11101,3092,鴻碩,電子零組件業,317373,290782,256810,9.14465132,23.58280441,317373,256810,23.58280441,-
1110217,11101,3094,聯傑,半導體業,26929,23052,24115,16.81849731,11.66908563,26929,24115,11.66908563,-
1110217,11101,3130,一零四,資訊服務業,153412,168330,142619,-8.86235371,7.567715382,153412,142619,7.567715382,-
1110217,11101,3138,耀登,通信網路業,127766,137014,100301,-6.749675216,27.38257844,127766,100301,27.38257844,-
1110217,11101,3149,正達,光電業,215615,224176,243320,-3.818874456,-11.38624034,215615,243320,-11.38624034,-
1110217,11101,3164,景岳,生技醫療業,40185,36559,36597,9.918214393,9.804082302,40185,36597,9.804082302,-
1110217,11101,3167,大量,電機機械,263033,314188,331751,-16.28165302,-20.71372807,263033,331751,-20.71372807,-
1110217,11101,3189,景碩,半導體業,3359365,3170512,2512811,5.95654582,33.68952142,3359365,2512811,33.68952142,-
1110217,11101,3209,全科,電子通路業,5437054,2992179,4514155,81.7088483,20.44455718,5437054,4514155,20.44455718,-
1110217,11101,3229,晟鈦,電子零組件業,30582,30542,37782,0.130967193,-19.05669366,30582,37782,-19.05669366,海外子公司之營收係以當年度平均匯率換算之.
